post_id,text_content,author,platform,created_at,gt_tier,gt_tier_label,gt_antisemitism_score,gt_sentiment,gt_ihra_labels,gt_keywords,gt_country_of_origin
post-0240,Some people serve two masters. The question is which one comes first when there's a conflict.!!,user_ce9346,telegram,2025-10-14T00:08:00Z,1,subtle,0.4329,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0241,Dual citizenship in the Zionist state should disqualify anyone from serving in Western governments. Period.,user_1ddf17,telegram,2025-03-12T02:06:00Z,2,coded,0.6593,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0242,"Just landed in Tel Aviv for the first time. The food, the energy, the people — absolutely love it here. — wake up!",user_a0dcff,telegram,2025-08-06T07:03:00Z,0,clean,0.1431,Supportive,,,Israel
post-0243,Climate change summit opens this week. Leaders need to stop talking and start acting. 📢,user_7c2804,telegram,2025-09-09T11:55:00Z,0,clean,0.1776,Negative,,,
post-0244,Six million is a very round number. Historians debate the actual toll — why is that discussion forbidden?,user_14bf9c,telegram,2025-10-19T22:09:00Z,2,coded,0.5451,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0245,Displaying the Star of David alongside the Nazi swastika is the most accurate map of Israeli foreign policy. — wake up!,user_5aacd4,telegram,2025-05-27T07:53:00Z,3,explicit,0.6971,Hostile,Using symbols and images associated with classic antisemitism to characterize Israel or Israelis,Zionist,Israel
post-0246,The economic data released today shows inflation easing slightly. Still a long way to go though. 📢,user_01b199,telegram,2025-05-05T21:37:00Z,0,clean,0.1736,Neutral,,,
post-0247,Antisemitic incidents have risen sharply this year. This is unacceptable and we all must speak out.,user_17562b,telegram,2025-04-02T07:33:00Z,0,clean,0.056,Negative,,antisemitism,
post-0248,Jewish lawyers dominate the legal system specifically to protect Jewish criminals from prosecution. — wake up!,user_3d0853,telegram,2025-07-14T02:30:00Z,3,explicit,0.7641,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0249,The Jewish Museum in Berlin is one of the most powerful museums I've ever visited. A must-see. ‼️,user_8768fb,telegram,2025-01-09T10:18:00Z,0,clean,0.1134,Supportive,,,Germany
post-0250,Jewish identity is built on victimhood and manipulation. The 'Jew-hatred' card is their most powerful weapon.,user_e43fc5,telegram,2025-09-05T19:02:00Z,3,explicit,0.8639,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0251,"Best coffee I've ever had was at a tiny café in Porto. If you're ever there, go. 🔥",user_291456,telegram,2025-02-21T04:45:00Z,0,clean,0.1038,Supportive,,,Portugal
post-0252,The Auschwitz-Birkenau Memorial receives over two million visitors a year. Memory is an act of resistance. 👀,user_dd861c,telegram,2025-06-10T21:20:00Z,0,clean,0.154,Neutral,,Holocaust,Poland
post-0253,Israel's drip-irrigation technology is helping farmers across Africa and Asia grow food with minimal water. Remarkable innovation. 🔥,user_14b605,telegram,2025-08-09T13:08:00Z,0,clean,0.1146,Supportive,,,Israel
post-0254,Ask yourself: why is Holocaust denial illegal? Because the story can't survive scrutiny. That's why. 🔥,user_2185fc,telegram,2025-05-10T17:36:00Z,3,explicit,0.7854,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0255,Question: why does every Western country prioritize Israel's security over the welfare of its own citizens? 🤔,user_c690c7,telegram,2025-06-04T12:42:00Z,1,subtle,0.2905,Negative,,dual loyalty,
post-0256,"9/11 benefited a very specific set of people. Those people had advance knowledge. This is documented, not conspiracy.!!",user_2ba2fd,telegram,2025-07-26T12:49:00Z,2,coded,0.6148,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,United States
post-0257,"Jewish community leaders in Germany have more loyalty to Tel Aviv than to Berlin. Always have, always will. ‼️",user_e99ea7,telegram,2025-11-07T23:55:00Z,3,explicit,0.7212,Hostile,Accusing Jewish citizens of dual loyalty,dual loyalty,Germany
post-0258,"The Holocaust was a tragedy, but so were the famines in India and the gulags. Why does one event dominate all others? 📢",user_3ad4a5,telegram,2025-03-22T09:06:00Z,2,coded,0.6491,Neutral,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,
post-0259,Schools should make Holocaust education mandatory. Understanding history is the only way to prevent it repeating. ‼️,user_a5d246,telegram,2025-08-22T08:46:00Z,0,clean,0.1194,Neutral,,Holocaust; antisemitism,
post-0260,CONFIRMED: Jewish doctors are deliberately administering different (weaker) vaccines to non-Jewish patients. 🤔,user_439051,telegram,2025-11-17T17:15:00Z,4,hostile,0.9187,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0261,Shoah denial is not an opinion. It is a lie and an act of hate. Full stop.,user_989c61,telegram,2025-11-08T12:04:00Z,0,clean,0.0437,Negative,,Holocaust; antisemitism,
post-0262,Jewish journalists who push war propaganda are legitimate military targets. They are combatants. ‼️,user_1433dd,telegram,2025-06-10T20:39:00Z,4,hostile,0.9218,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",media control,
post-0263,Climate change summit opens this week. Leaders need to stop talking and start acting.!!,user_d8eff8,telegram,2025-12-26T16:35:00Z,0,clean,0.1797,Negative,,,
post-0264,The Jewish lobby controls the US Congress. Every major military intervention since 1990 was done for the Zionist state.,user_19165a,telegram,2025-12-05T17:05:00Z,3,explicit,0.8469,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; dual loyalty,United States
post-0265,What a coincidence that the biggest media donors all seem to have the same political interests in the Middle East.,user_eda05c,telegram,2025-12-05T20:05:00Z,1,subtle,0.3695,Neutral,,media control; dual loyalty,
post-0266,Nuke Tel Aviv and the problem solves itself. The rest of the world can finally breathe. — wake up!,user_99cbff,telegram,2025-11-16T01:32:00Z,4,hostile,0.8817,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0267,Ask yourself: why is Holocaust denial illegal? Because the story can't survive scrutiny. That's why.!!,user_5ebf0f,telegram,2025-10-05T09:54:00Z,3,explicit,0.8252,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0268,Jewish identity is built on victimhood and manipulation. The 'antisemitism' card is their most powerful weapon.,user_554134,telegram,2025-02-19T13:30:00Z,3,explicit,0.7084,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0269,Klezmer music is so joyful and moving. Attended a live performance last night — incredible. ‼️,user_76bec5,telegram,2025-08-21T10:43:00Z,0,clean,0.0781,Supportive,,,
post-0270,"Klaus Schwab, Bill Gates, George Soros — the 'Great Reset' crowd. Look at who funds them. Same people every time.",user_2a0dff,telegram,2025-03-30T16:25:00Z,2,coded,0.5699,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,
post-0271,The Rothschild family controls every central bank on earth and has engineered every major financial crisis since 1815. — wake up!,user_01d903,telegram,2025-02-20T14:46:00Z,3,explicit,0.6928,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0272,A synagogue in my city was vandalized last night. The whole community stands with our Jewish neighbors.!!,user_9a842a,telegram,2025-03-31T14:08:00Z,0,clean,0.1571,Neutral,,synagogue; antisemitism,
post-0273,Hamas did in one day what decades of diplomacy could not. That deserves respect.!!,user_5d9e75,telegram,2025-02-14T23:46:00Z,4,hostile,0.9382,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",October 7th,Israel
post-0274,Nuke Tel Aviv and the problem solves itself. The rest of the world can finally breathe.!!,user_58b8d9,telegram,2025-02-25T21:11:00Z,4,hostile,0.8896,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0275,Burn every Jewish institution that funds Israeli apartheid. Start with the ones in your own city.,user_5e3314,telegram,2025-05-12T20:56:00Z,4,hostile,0.8868,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",synagogue; Jewish conspiracy,
post-0276,Jews have a genetic disposition toward deception and manipulation. History proves this across civilizations.,user_a110dc,telegram,2025-04-04T00:25:00Z,3,explicit,0.7291,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0277,Jewish organizations are the biggest funders of mass immigration into Europe. This is not a theory — look at the tax filings. 📢,user_a33b3c,telegram,2025-04-06T16:17:00Z,2,coded,0.5208,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,Germany
post-0278,"Klaus Schwab, Bill Gates, George Soros — the 'Great Reset' crowd. Look at who funds them. Same people every time.",user_2a0dff,telegram,2025-10-20T14:21:00Z,2,coded,0.5908,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,
post-0279,Today is International Holocaust Remembrance Day. Never forget the six million Jewish lives lost. #NeverAgain — wake up!,user_fe16df,telegram,2025-04-27T00:24:00Z,0,clean,0.1644,Neutral,,Holocaust; antisemitism,
post-0280,Every major war in the last 200 years was engineered by Jewish bankers to profit from both sides.,user_507dc2,telegram,2025-04-02T19:35:00Z,3,explicit,0.7859,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0281,A congressman with dual citizenship voting on military aid to the country he holds citizenship in. That's fine? ‼️,user_9ca153,telegram,2025-06-01T12:12:00Z,1,subtle,0.3784,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0282,"Funny how the same faces keep appearing at Davos every year. The same bankers, the same agenda. — share this!",user_a76631,telegram,2025-02-12T04:54:00Z,1,subtle,0.286,Hostile,,globalists; bank control,
post-0283,Israel's Magen David Adom volunteers continue providing aid across disaster zones worldwide. Proud of this work. 👀,user_a44d46,telegram,2025-05-07T00:26:00Z,0,clean,0.1032,Supportive,,,Israel
post-0284,Shabbat Shalom everyone! Wishing a peaceful and restful Shabbat to all those celebrating tonight. 🕎 👀,user_4c8c3d,telegram,2025-02-28T13:19:00Z,0,clean,0.133,Supportive,,,
post-0285,Making matzah ball soup from scratch this year for Passover. Wish me luck 🍜 🤔,user_0e452c,telegram,2025-04-21T20:26:00Z,0,clean,0.1568,Supportive,,,
post-0286,Jewish Zionists have infected Western institutions. Their goal is to silence all criticism of Israel. ‼️,user_c06a81,telegram,2025-07-10T16:37:00Z,2,coded,0.6485,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Zionist,
post-0287,The Nazis failed because they were too merciful. We should not make the same mistake. 🤔,user_c540d0,telegram,2025-07-31T21:19:00Z,4,hostile,0.9642,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0288,"I don't hate anyone, but I do think certain communities prioritize their own interests over national ones — and that needs discussion.!!",user_023d9d,telegram,2025-01-05T01:35:00Z,1,subtle,0.3273,Neutral,Accusing Jewish citizens of dual loyalty,,
post-0289,the Zionist state's siege of Gaza is a textbook example of collective punishment — the same tactic used in the Warsaw Ghetto.,user_3facfd,telegram,2025-05-20T15:04:00Z,2,coded,0.5404,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis; Holding Jews collectively responsible for actions of the State of Israel,Holocaust; Zionist,Israel
post-0290,Jewish people have a genetic disposition toward deception and manipulation. History proves this across civilizations. 🤔,user_c92ecc,telegram,2025-09-27T13:01:00Z,3,explicit,0.704,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0291,Finishing what Hitler started is not hate speech — it is a political position held by millions. 🔥,user_58f8a5,telegram,2025-02-23T00:49:00Z,4,hostile,0.9778,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0292,The Jewish Museum in Berlin is one of the most powerful museums I've ever visited. A must-see. — wake up!,user_2a51aa,telegram,2025-03-20T23:59:00Z,0,clean,0.1401,Supportive,,,Germany
post-0293,Death to Israel and all who fund it. This is not a threat — it is a prayer. 📢,user_70a9b9,telegram,2025-09-10T15:13:00Z,4,hostile,0.8806,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0294,"Jewish people are parasites who feed on host nations until there is nothing left, then move on. History confirms this.",user_83db03,telegram,2025-05-26T19:20:00Z,3,explicit,0.8661,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0295,"I love Jewish culture and people, but Israel's actions make it hard to distinguish between Israeli policy and broader Jewish influence. — share this!",user_e0381d,telegram,2025-08-19T01:35:00Z,1,subtle,0.2612,Neutral,Holding Jews collectively responsible for actions of the State of Israel,,Israel
post-0296,The global elites pulling the strings behind our governments — follow the money. Always follow the money. 👀,user_3de6ac,telegram,2025-08-29T18:58:00Z,1,subtle,0.2417,Hostile,,globalists; bank control,
post-0297,Visited Yad Vashem in Jerusalem today. Walked through in silence. Some things cannot be put into words.,user_09e584,telegram,2025-11-27T09:19:00Z,0,clean,0.1836,Neutral,,Holocaust,Israel
post-0298,Zyklon B was a delousing agent. The idea it was used for mass murder is physically and logistically impossible.,user_e32724,telegram,2025-07-28T02:12:00Z,3,explicit,0.8072,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,
post-0299,Every Israeli settler killed on October 7th was a colonizer. Not a civilian. Not a victim. 🔥,user_9d63d7,telegram,2025-12-27T09:33:00Z,4,hostile,0.9378,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Holding Jews collectively responsible for actions of the State of Israel",October 7th; Zionist,Israel
post-0300,The Jewish Museum in Berlin is one of the most powerful museums I've ever visited. A must-see. 👀,user_85e3b2,telegram,2025-06-06T06:25:00Z,0,clean,0.1097,Supportive,,,Germany
post-0301,"9/11 benefited a very specific set of people. Those people had advance knowledge. This is documented, not conspiracy.",user_98e1cf,telegram,2025-01-05T00:42:00Z,2,coded,0.5911,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,United States
post-0302,Burn every Jewish institution that funds Israeli apartheid. Start with the ones in your own city. ‼️,user_ceab30,telegram,2025-04-17T04:08:00Z,4,hostile,0.9396,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",synagogue; Jewish conspiracy,
post-0303,Jewish academics have infiltrated universities to promote degeneracy and erase Western culture. 👀,user_51c4eb,telegram,2025-10-17T04:01:00Z,3,explicit,0.7939,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0304,Yom Kippur begins at sundown. An important day of reflection and atonement for Jewish communities worldwide.,user_32b17c,telegram,2025-01-28T12:09:00Z,0,clean,0.137,Neutral,,,
post-0305,A Jew will smile at your face and stab you in the back. This is their nature — documented throughout history. — wake up!,user_d95fb9,telegram,2025-11-20T00:34:00Z,3,explicit,0.8692,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0306,"From the river to the sea — and after that, we deal with the Jewish diaspora that supported this colonial project. — wake up!",user_0306b0,telegram,2025-02-14T18:29:00Z,4,hostile,0.9454,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Holding Jews collectively responsible for actions of the State of Israel",Zionist,Israel
post-0307,The new AI tools coming out this year are genuinely impressive. Exciting and slightly terrifying. ‼️,user_3f3ce1,telegram,2025-01-14T17:36:00Z,0,clean,0.0484,Neutral,,,
post-0308,The Rothschild family controls every central bank on earth and has engineered every major financial crisis since 1815.,user_d375b3,telegram,2025-07-29T16:12:00Z,3,explicit,0.8466,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0309,"Jewish community leaders in Germany have more loyalty to Tel Aviv than to Berlin. Always have, always will.",user_5f1c65,telegram,2025-10-23T05:14:00Z,3,explicit,0.7049,Hostile,Accusing Jewish citizens of dual loyalty,dual loyalty,Germany
post-0310,Western Jews lobbying for more weapons to Israel while condemning civilian deaths — hypocrisy on a historic scale.!!,user_76bacc,telegram,2025-03-31T20:19:00Z,2,coded,0.6065,Negative,Holding Jews collectively responsible for actions of the State of Israel,Zionist,
post-0311,Jewish academics have infiltrated universities to promote degeneracy and erase Western culture. 🔥,user_0fc6bf,telegram,2025-11-28T21:01:00Z,3,explicit,0.7923,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0312,If you criticize Saudi Arabia you're brave. If you criticize Israel you lose your job. That double standard is Jewish power.!!,user_d08e14,telegram,2025-06-23T22:43:00Z,3,explicit,0.8263,Hostile,Applying double standards to Israel not expected of any other democratic nation,media control,
post-0313,Hitler was right about one thing. He identified the enemy clearly. We should have the courage to do the same.,user_824e21,telegram,2025-09-25T11:00:00Z,4,hostile,0.9585,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,Germany
post-0314,"Best coffee I've ever had was at a tiny café in Porto. If you're ever there, go.",user_2eef3b,telegram,2025-04-29T05:53:00Z,0,clean,0.0344,Supportive,,,Portugal
post-0315,Question: why does every Western country prioritize Israel's security over the welfare of its own citizens? 🔥,user_7fb9d4,telegram,2025-09-09T15:22:00Z,1,subtle,0.4384,Negative,,dual loyalty,
post-0316,The Federal Reserve has never been properly audited. Who really controls our money supply? 📢,user_99334e,telegram,2025-09-11T13:59:00Z,1,subtle,0.3073,Hostile,,bank control,United States
post-0317,Every synagogue in Europe should be shut down. They are command centres for a fifth column.,user_934973,telegram,2025-12-28T17:27:00Z,4,hostile,0.9558,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",synagogue; Jewish conspiracy,Germany
post-0318,EXCLUSIVE: The IDF deliberately harvests organs from Palestinian civilians killed in airstrikes. — share this!,user_fc3035,telegram,2025-11-10T15:38:00Z,4,hostile,0.9466,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Zionist,Israel
post-0319,Jewish lawyers dominate the legal system specifically to protect Jewish criminals from prosecution.,user_3804f0,telegram,2025-02-02T23:35:00Z,3,explicit,0.6996,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0320,"Jews invented communism to destroy Christian civilization. Marx, Lenin, Trotsky — all Jewish. Look it up. — share this!",user_322a4b,telegram,2025-03-16T23:59:00Z,3,explicit,0.8328,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0321,The LGBT agenda is a Jewish invention to weaken traditional family structures in Christian societies. 📢,user_455023,telegram,2025-08-27T00:32:00Z,3,explicit,0.7353,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,
post-0322,"Jewish community leaders in Germany have more loyalty to Tel Aviv than to Berlin. Always have, always will. — wake up!",user_bacdbe,telegram,2025-06-20T07:07:00Z,3,explicit,0.7588,Hostile,Accusing Jewish citizens of dual loyalty,dual loyalty,Germany
post-0323,Visited Yad Vashem in Jerusalem today. Walked through in silence. Some things cannot be put into words. ‼️,user_8ad145,telegram,2025-12-03T20:04:00Z,0,clean,0.0544,Neutral,,Holocaust,Israel
post-0324,The Federal Reserve has never been properly audited. Who really controls our money supply?!!,user_ce2626,telegram,2025-04-08T02:46:00Z,1,subtle,0.4122,Hostile,,bank control,United States
post-0325,"The Talmud literally instructs Jews to cheat, lie to, and exploit non-Jews. This is their sacred text. ‼️",user_8ddfca,telegram,2025-02-11T03:02:00Z,3,explicit,0.7221,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0326,Some people serve two masters. The question is which one comes first when there's a conflict. — wake up!,user_5916b4,telegram,2025-11-26T07:41:00Z,1,subtle,0.3892,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0327,George Soros funds organizations in over 100 countries. Why does one man have so much global influence? 🤔,user_6e1e63,telegram,2025-04-25T08:48:00Z,1,subtle,0.3801,Hostile,,globalists,United States
post-0328,Hollywood has made the Holocaust its permanent focus. Almost as if some people profit from keeping the guilt alive.,user_c5e09b,telegram,2025-03-26T02:49:00Z,2,coded,0.5534,Hostile,"Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,United States
post-0329,The Protocols of the Elders of Zion is not a forgery — it's a blueprint that has been executed with precision.,user_f85a80,telegram,2025-11-26T16:13:00Z,3,explicit,0.6946,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0330,"Jews started World War I, World War II, and are now engineering World War III. Same families, same playbook. 👀",user_b69ce7,telegram,2025-10-02T21:36:00Z,3,explicit,0.7282,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,
post-0331,Hamas did in one day what decades of diplomacy could not. That deserves respect. 🔥,user_b6dea2,telegram,2025-01-30T00:19:00Z,4,hostile,0.9696,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",October 7th,Israel
post-0332,"From the river to the sea — and after that, we deal with the Jewish diaspora that supported this colonial project.",user_f54cc2,telegram,2025-12-19T18:55:00Z,4,hostile,0.9479,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Holding Jews collectively responsible for actions of the State of Israel",Zionist,Israel
post-0333,Israeli scientists have published a major breakthrough in Alzheimer's research. Great news for patients worldwide.,user_42e5cc,telegram,2025-02-21T05:23:00Z,0,clean,0.1754,Supportive,,,Israel
post-0334,The economic data released today shows inflation easing slightly. Still a long way to go though.,user_6da77f,telegram,2025-05-19T02:02:00Z,0,clean,0.1443,Neutral,,,
post-0335,The only solution to the Jewish problem is the same one that has been tried many times throughout history. 📢,user_40cb0b,telegram,2025-06-20T23:25:00Z,4,hostile,0.9382,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Jewish conspiracy,
post-0336,Jewish organizations are the biggest funders of mass immigration into Europe. This is not a theory — look at the tax filings. 👀,user_06d95d,telegram,2025-04-17T22:19:00Z,2,coded,0.6633,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,Germany
post-0337,Jewish politicians in Germany consistently vote for Israel's interests over Germany's. This is dual loyalty — call it what it is. 🔥,user_6ae15a,telegram,2025-08-13T04:31:00Z,2,coded,0.6654,Hostile,Accusing Jewish citizens of dual loyalty,dual loyalty,Germany
post-0338,Klezmer music is so joyful and moving. Attended a live performance last night — incredible. — wake up!,user_cbf96d,telegram,2025-04-08T11:54:00Z,0,clean,0.0977,Supportive,,,
post-0339,"Not saying who, but a certain tiny group of people owns a disproportionate amount of our media. ‼️",user_ab15dc,telegram,2025-11-17T23:38:00Z,1,subtle,0.4277,Hostile,,media control,
post-0340,Another 'coincidence' — the politicians who voted for the bailout all received campaign donations from the same banks. 📢,user_fe7660,telegram,2025-08-24T13:46:00Z,1,subtle,0.3827,Neutral,,bank control,
post-0341,The new season of this show is absolutely incredible. Cannot stop watching. 👀,user_169558,telegram,2025-12-12T10:17:00Z,0,clean,0.135,Supportive,,,
post-0342,The reason housing is unaffordable is Jewish landlords and real-estate firms systematically pricing out gentiles.,user_3049bd,telegram,2025-02-08T00:18:00Z,3,explicit,0.7002,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0343,Zyklon B was a delousing agent. The idea it was used for mass murder is physically and logistically impossible. 👀,user_7c237d,telegram,2025-05-22T15:38:00Z,3,explicit,0.863,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,
post-0344,"From the river to the sea — and after that, we deal with the Jewish diaspora that supported this colonial project. 🔥",user_5248ee,telegram,2025-08-23T07:37:00Z,4,hostile,0.9418,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Holding Jews collectively responsible for actions of the State of Israel",Zionist,Israel
post-0345,Jewish identity is built on victimhood and manipulation. The 'antisemitism' card is their most powerful weapon. — share this!,user_e26883,telegram,2025-10-15T21:25:00Z,3,explicit,0.7582,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0346,It's just a coincidence that the loudest voices for censorship are the ones who'd benefit most from it. 👀,user_29eda7,telegram,2025-04-06T08:47:00Z,1,subtle,0.3626,Neutral,,Jewish conspiracy,
post-0347,"COVID vaccines were designed by people connected to the Davos crowd — same names, same agenda, same profits. 🔥",user_2a0409,telegram,2025-06-19T11:02:00Z,2,coded,0.5045,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,globalists,
post-0348,More civilians died in the Allied bombing of Dresden than in some camps. Why is one tragedy commemorated and the other ignored?,user_f39b7b,telegram,2025-04-08T21:44:00Z,2,coded,0.5429,Negative,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,Germany
post-0349,Some people serve two masters. The question is which one comes first when there's a conflict.!!,user_ce9346,telegram,2025-05-05T02:53:00Z,1,subtle,0.2557,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0350,Why does the mainstream media never critically cover Israel the way it covers other countries? Genuinely asking. 📢,user_09470a,telegram,2025-05-27T08:32:00Z,1,subtle,0.2804,Negative,,media control,
post-0351,George Soros funds organizations in over 100 countries. Why does one man have so much global influence? — wake up!,user_2c3d15,telegram,2025-05-20T14:51:00Z,1,subtle,0.3309,Hostile,,globalists,United States
post-0352,Chag Sameach! Wishing everyone a joyful and meaningful Passover. May the story of freedom inspire us all. ‼️,user_3cb98e,telegram,2025-01-09T01:26:00Z,0,clean,0.0828,Supportive,,,
post-0353,"People are afraid to say it openly, but they think it privately. That gap between public and private opinion is growing.",user_df0561,telegram,2025-10-21T08:16:00Z,1,subtle,0.3481,Neutral,,Jewish conspiracy,
post-0354,A synagogue in my city was vandalized last night. The whole community stands with our Jewish neighbors. — wake up!,user_7e4a83,telegram,2025-02-28T20:01:00Z,0,clean,0.101,Neutral,,synagogue; antisemitism,
post-0355,The Dead Sea is truly unlike anything else on earth. Floating effortlessly while reading a newspaper 📰 🤔,user_a3b24e,telegram,2025-08-15T17:55:00Z,0,clean,0.1066,Supportive,,,Israel
post-0356,A congressman with dual citizenship voting on military aid to the country he holds citizenship in. That's fine?,user_b817af,telegram,2025-11-12T23:42:00Z,1,subtle,0.3603,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0357,A synagogue in my city was vandalized last night. The whole community stands with our Jewish neighbors. 📢,user_e534aa,telegram,2025-09-02T04:45:00Z,0,clean,0.0709,Neutral,,synagogue; antisemitism,
post-0358,"Not a hateful person, but when the same group appears at the top of media, finance, and politics, you have to ask why. 📢",user_442cf1,telegram,2025-04-20T06:56:00Z,1,subtle,0.2294,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",media control; bank control,
